BUG-0001 | tools/test_approvals_dispatch.py::test_a_batch_longer_than_the_limit_is_refused_at_the_builder tools/test_approvals_dispatch.py::test_flags_stay_writable_on_a_dispatched_task tools/test_approvals_dispatch.py::test_only_a_manifest_of_signed_item_records_reads_as_a_list tools/test_board.py::test_a_self_referential_item_body_does_not_stop_the_state_write tools/test_board.py::test_a_status_off_its_types_vocabulary_still_appears_and_warns tools/test_board.py::test_a_surrogate_in_an_item_does_not_stop_the_state_write tools/test_board.py::test_an_alias_bomb_cannot_stretch_a_state_write tools/test_e2e.py::test_e2e_update_changes_a_field_and_invalidates_a_current_approval tools/test_hooks.py::test_a_document_finding_and_a_validator_finding_get_different_remedies tools/test_hooks.py::test_dashboard_survives_a_hand_written_item tools/test_hooks.py::test_quality_red_on_duplicate_key_in_typed_item tools/test_hooks.py::test_retro_reports_the_item_status_mix_from_the_index tools/test_kernel.py::test_a_cross_root_origin_is_refused_at_creation tools/test_kernel.py::test_a_task_under_its_own_root_is_still_creatable tools/test_staging_cli.py::test_a_bug_cannot_be_verified_without_the_regression_evidence | pass | EVD-0227 | 29.6s | 1 passed in 0.83s
BUG-0015 | tools/test_approvals_dispatch.py::test_a_scalar_acceptance_ref_is_one_ref_not_four_letters tools/test_approvals_dispatch.py::test_a_scalar_dependency_is_one_dependency tools/test_board.py::test_a_blocked_card_carries_its_blocker_on_its_face tools/test_hooks.py::test_process_doc_renders_a_scalar_field_as_one_element tools/test_hooks_v2.py::test_a_scalar_scope_decides_like_a_one_element_list tools/test_report.py::test_a_scalar_dependency_is_reported_once_not_once_per_letter tools/test_state.py::test_a_work_order_that_expects_nothing_is_refused_at_both_entrances | pass | EVD-0238 | 18.0s | 1 passed in 0.47s
BUG-0018 | tools/test_e2e.py::test_e2e_capture_accepts_a_bom_prefixed_body_and_stores_it_without_bom tools/test_e2e.py::test_e2e_capture_stores_umlaut_body_as_utf8_bytes_whatever_the_stdin_codepage | pass | EVD-0239 | 3.2s | 1 passed in 0.43s
BUG-0020 | tools/test_hooks_v2.py::test_a_write_verbs_quoted_operand_is_a_path_not_a_removable_message tools/test_repo_hygiene.py::test_every_decision_pointer_in_a_shipped_kit_file_resolves | pass | EVD-0240 | 5.8s | 1 passed in 0.50s
BUG-0021 | tools/test_e2e.py::test_e2e_capture_accepts_a_bom_prefixed_body_and_stores_it_without_bom | pass | EVD-0241 | 1.6s | 1 passed in 0.46s
BUG-0028 | tools/test_migrate.py::test_applied_deposit_remedies_are_counted_not_a_not_searched_line_each tools/test_migrate.py::test_every_verdict_the_run_up_can_produce_is_named_where_it_is_documented tools/test_migrate.py::test_no_instruction_this_command_prints_can_take_a_file_away | pass | EVD-0242 | 8.2s | 1 passed in 3.42s
BUG-0029 | tools/test_migrate.py::test_doctor_says_why_it_cannot_name_the_kit_of_a_project_with_only_a_version | pass | EVD-0243 | 1.8s | 1 passed in 0.69s
BUG-0035 | .claude/hooks/test_gates.py::test_no_statement_here_cites_a_replaced_contract_on_its_own | pass | EVD-0244 | 5.3s | 1 passed in 4.10s
BUG-0036 | tools/test_hooks_v2.py::test_each_refusal_reason_gets_its_own_sentence_for_the_user tools/test_report.py::test_a_fresh_install_is_told_to_restart_and_is_not_handed_the_slash_command tools/test_report.py::test_a_record_cannot_publish_words_of_its_own_through_the_reason | pass | EVD-0245 | 6.2s | 1 passed in 0.45s
BUG-0038 | tools/test_backlog_types.py::test_every_kernel_read_of_a_reference_list_field_goes_through_field_elements tools/test_backlog_types.py::test_the_reference_list_fields_are_what_the_kernel_reads_elementwise tools/test_report.py::test_validate_names_a_scalar_reference_list_field tools/test_report.py::test_validate_names_design_refs_that_resolve_to_nothing tools/test_staging_cli.py::test_a_scalar_design_ref_survives_the_freeze_as_one_reference | pass | EVD-0246 | 9.1s | 1 passed in 1.07s
BUG-0039 | tools/test_hooks_v2.py::test_an_expired_request_is_not_open_and_a_reworded_relay_goes_silent tools/test_hooks_v2.py::test_the_approval_hook_speaks_on_the_channels_this_record_measured tools/test_hooks_v2.py::test_the_pilots_silent_relay_now_speaks_to_the_user tools/test_report.py::test_the_entry_point_warns_before_the_question_is_put_to_the_user | pass | EVD-0247 | 6.9s | 1 passed in 0.48s
BUG-0040 | tools/test_approvals_dispatch.py::test_a_cr_derived_task_may_reference_the_crs_own_criteria tools/test_approvals_dispatch.py::test_a_task_may_reference_the_criteria_an_approved_amendment_of_its_root_minted tools/test_approvals_dispatch.py::test_an_applied_amendments_criteria_stop_counting tools/test_backlog_types.py::test_an_amendment_is_the_type_that_names_the_revision_it_amends tools/test_hooks_v2.py::test_the_shipped_gate_authorises_a_spawn_against_an_approved_amendments_criterion | pass | EVD-0248 | 10.8s | 1 passed in 1.16s
BUG-0042 | tools/test_hooks.py::test_the_session_start_sweeps_a_dispatch_no_child_of_this_session_can_be_behind tools/test_hooks.py::test_the_sweep_briefing_claims_only_the_dispatches_it_could_judge | pass | EVD-0249 | 8.4s | 1 passed in 3.37s
BUG-0043 | tools/test_hooks.py::test_both_entry_gates_anchor_the_shared_sign_off_and_name_no_item_this_repo_lacks | pass | EVD-0250 | 3.2s | 1 passed in 1.82s
BUG-0044 | tools/test_hooks.py::test_the_field_a_kernel_command_owns_is_named_with_that_command_in_both_entry_gates | pass | EVD-0251 | 2.7s | 1 passed in 1.57s
BUG-0045 | tools/test_hooks.py::test_the_block_that_hand_stamps_the_kernels_fields_names_the_kernels_own_clock | pass | EVD-0252 | 2.8s | 1 passed in 1.55s
BUG-0047 | tools/test_hooks.py::test_a_role_writes_its_own_craft_memory_and_only_its_own tools/test_role_contracts.py::test_the_memory_duty_is_only_prescribed_where_the_role_has_memory | pass | EVD-0253 | 21.3s | 1 passed in 0.29s
BUG-0048 | tools/test_hooks.py::test_a_shell_less_specialists_result_reaches_the_kernel tools/test_role_contracts.py::test_every_shipped_specialist_is_told_a_path_its_toolset_can_walk tools/test_role_contracts.py::test_no_role_text_names_a_user_question_tool_its_own_definition_denies tools/test_role_contracts.py::test_the_checkpoint_duty_binds_only_the_roles_that_could_run_it tools/test_role_contracts.py::test_the_lead_of_every_kit_with_a_shell_less_role_carries_the_relay | pass | EVD-0254 | 16.4s | 1 passed in 0.31s
BUG-0049 | tools/test_hooks.py::test_a_warning_is_recorded_as_a_warning_and_not_as_a_block tools/test_hooks.py::test_the_give_up_line_says_what_the_retry_did tools/test_hooks_v2.py::test_the_same_idle_finding_refuses_only_one_turn_end | pass | EVD-0255 | 9.8s | 1 passed in 2.98s
BUG-0050 | tools/test_hooks.py::test_a_warning_is_recorded_as_a_warning_and_not_as_a_block | pass | EVD-0256 | 2.7s | 1 passed in 1.61s
BUG-0051 | .claude/hooks/test_gates.py::test_the_arbiter_is_a_shell_that_reads_back_what_this_process_writes .claude/hooks/test_gates.py::test_the_measurement_sandbox_leaves_a_child_shell_no_directory_word_that_names_another_tree | pass | EVD-0257 | 25.0s | 1 passed in 22.06s
BUG-0058 | tools/test_approvals_dispatch.py::test_a_dispatch_whose_child_ended_is_named_and_a_running_one_is_not tools/test_hooks_v2.py::test_no_gate_that_mutates_the_state_runs_in_front_of_one_that_can_still_refuse tools/test_hooks_v2.py::test_the_dispatch_gate_sees_the_whole_spawn_lifecycle tools/test_hooks_v2.py::test_the_turn_end_is_refused_for_a_dispatch_whose_child_stopped | pass | EVD-0258 | 20.2s | 1 passed in 1.66s
BUG-0060 | tools/test_hooks.py::test_the_session_start_names_work_booked_as_finished_that_nothing_measured tools/test_report.py::test_a_task_accepted_without_a_qa_verdict_is_reported tools/test_report.py::test_a_task_under_every_kit_root_is_asked_for_its_delivery_verdict | pass | EVD-0259 | 8.7s | 1 passed in 1.02s
BUG-0061 | tools/test_hooks.py::test_the_office_start_names_the_drawers_the_business_has_and_the_plan_does_not | pass | EVD-0260 | 3.8s | 1 passed in 2.64s
BUG-0063 | tools/test_hooks_v2.py::test_an_option_word_after_the_script_is_an_argument_not_a_payload tools/test_hooks_v2.py::test_the_module_form_of_the_entry_point_is_not_the_entry_point | pass | EVD-0261 | 3.5s | 1 passed in 0.44s
BUG-0064 | tools/test_hooks_v2.py::test_the_remedy_this_gate_prints_is_one_it_accepts | pass | EVD-0262 | 1.8s | 1 passed in 0.68s
BUG-0065 | tools/test_hooks_v2.py::test_a_closing_paren_ends_a_word_for_this_reader_too tools/test_hooks_v2.py::test_parentheses_in_prose_are_still_prose | pass | EVD-0263 | 4.2s | 3 passed in 0.80s
BUG-0066 | tools/test_hooks_v2.py::test_a_carriage_return_does_not_hide_a_write_from_the_scope_gate tools/test_hooks_v2.py::test_no_caller_of_the_preparation_keeps_a_second_copy_of_the_break_rule tools/test_hooks_v2.py::test_the_shared_preparation_spells_every_statement_break_as_a_newline | pass | EVD-0264 | 7.5s | 10 passed in 0.39s
BUG-0070 | tools/test_gaplog.py::test_a_recorded_gap_survives_in_the_projects_own_state tools/test_kernel.py::test_a_plan_this_kernel_cannot_append_to_is_refused_and_left_alone tools/test_kernel.py::test_add_filing_rule_creates_the_rules_list_when_the_plan_carries_none tools/test_office_package.py::test_add_filing_rule_creates_the_rules_list_on_an_old_stock_plan_through_the_entry_point | pass | EVD-0265 | 9.0s | 1 passed in 2.68s
BUG-0073 | tools/test_role_contracts.py::test_every_kit_lead_is_told_which_language_an_approval_value_is_written_in tools/test_role_contracts.py::test_the_value_language_rule_claims_no_enforcement_it_does_not_have | pass | EVD-0267 | 2.9s | 1 passed in 0.32s
BUG-0074 | tools/test_kernel.py::test_a_staged_proposal_is_applied_only_when_the_user_approved_exactly_it tools/test_staging_cli.py::test_freeze_wireframe_happy_path tools/test_staging_cli.py::test_freezing_one_artifact_leaves_the_other_staged_files_alone tools/test_staging_cli.py::test_no_freeze_command_empties_the_tasks_staging_area tools/test_staging_cli.py::test_the_freeze_commands_write_the_state_no_other_producer_can | pass | EVD-0268 | 8.6s | 1 passed in 0.72s
BUG-0075 | tools/test_role_contracts.py::test_every_role_that_owns_a_kit_document_carries_the_route_that_writes_it tools/test_role_contracts.py::test_the_document_route_is_one_text_wherever_it_stands | pass | EVD-0269 | 3.8s | 1 passed in 0.51s
BUG-0076 | tools/test_hooks.py::test_a_design_draft_named_to_the_user_without_a_render_is_refused tools/test_hooks.py::test_every_spelling_of_one_staged_draft_is_the_same_refusal tools/test_role_contracts.py::test_the_product_designer_can_look_at_its_own_draft_and_says_what_that_costs | pass | EVD-0270 | 7.4s | 1 passed in 0.28s
BUG-0071 | tools/test_finance_dashboard.py::test_a_fresh_project_ships_a_category_vocabulary_the_p4_12_stall_cannot_recur_on tools/test_hooks.py::test_a_kit_document_is_refused_with_the_truth_and_not_with_a_command_that_does_not_exist tools/test_hooks.py::test_a_staged_proposal_reaches_a_kit_document_in_a_project_the_installers_built tools/test_hooks.py::test_doctor_names_the_documents_that_wall_a_project_off tools/test_hooks.py::test_session_start_says_a_wall_document_is_still_the_template tools/test_kernel.py::test_a_staged_proposal_is_applied_only_when_the_user_approved_exactly_it tools/test_kernel.py::test_the_ordinary_ways_a_document_grows_are_not_refused tools/test_office_package.py::test_the_bookkeeper_extends_the_category_vocabulary_through_the_kernel_and_books_against_it tools/test_presets.py::test_every_target_form_names_a_live_apr_kind tools/test_role_contracts.py::test_every_role_that_owns_a_kit_document_carries_the_route_that_writes_it tools/test_staging_cli.py::test_no_proposal_path_can_reach_outside_the_tasks_own_staging | pass | EVD-0277 | 43.1s | 8 passed in 1.24s
BUG-0041 | tools/test_gaplog.py::test_the_gap_command_and_the_duty_that_names_it_arrive_together tools/test_hooks.py::test_a_kit_document_is_refused_with_the_truth_and_not_with_a_command_that_does_not_exist tools/test_hooks.py::test_a_rule_that_starts_with_a_placeholder_would_open_the_whole_level tools/test_hooks.py::test_a_rule_the_user_approved_opens_this_gate_for_exactly_that_place tools/test_hooks.py::test_a_staged_proposal_reaches_a_kit_document_in_a_project_the_installers_built tools/test_hooks.py::test_doctor_names_the_documents_that_wall_a_project_off tools/test_hooks.py::test_every_route_the_kernel_has_into_a_kit_document_is_named_by_the_gate_that_refuses_one tools/test_hooks.py::test_session_start_says_a_wall_document_is_still_the_template tools/test_hooks.py::test_the_field_a_kernel_command_owns_is_named_with_that_command_in_both_entry_gates tools/test_kernel.py::test_a_generic_document_writer_is_named_only_for_the_documents_it_would_write tools/test_kernel.py::test_a_rule_may_not_start_with_a_placeholder tools/test_kernel.py::test_add_filing_rule_creates_the_rules_list_when_the_plan_carries_none tools/test_kernel.py::test_the_question_a_filing_rule_asks_shows_every_field_the_hash_covers tools/test_kitupdate.py::test_the_question_the_user_sees_names_both_releases_and_no_full_hash tools/test_office_package.py::test_a_reminder_the_data_does_not_carry_is_refused tools/test_office_package.py::test_a_term_the_business_never_recorded_is_refused_with_its_route tools/test_office_package.py::test_the_gap_refusal_names_an_order_this_script_actually_walks tools/test_presets.py::test_a_lead_can_change_the_preset_end_to_end tools/test_presets.py::test_a_preset_change_needs_a_user_approval_before_anything_moves tools/test_role_contracts.py::test_no_document_owner_is_routed_at_one_the_command_would_refuse tools/test_staging_cli.py::test_a_filing_correction_question_says_in_words_what_happens_to_the_document | pass | EVD-0278 | 72.5s | 1 passed in 0.60s
BUG-0059 | tools/test_kitupdate.py::test_a_stock_without_update_kit_is_lifted_by_the_bootstrap_and_told_about_it | pass | EVD-0279 | 9.0s | 1 passed in 7.87s
BUG-0068 | tools/test_gaplog.py::test_a_recorded_gap_survives_in_the_projects_own_state tools/test_hooks.py::test_both_installers_own_the_entry_point_like_the_other_kit_scripts tools/test_kitupdate.py::test_a_backlog_that_could_not_be_re_checked_says_so tools/test_kitupdate.py::test_a_guarded_script_is_refreshed_and_a_line_ending_drift_is_not_pending tools/test_kitupdate.py::test_a_pending_entry_that_matches_again_stops_nagging_and_a_resolved_list_goes tools/test_kitupdate.py::test_every_guarded_repo_template_is_refreshed_by_the_scaffold | pass | EVD-0280 | 27.7s | 1 passed in 3.51s
BUG-0072 | tools/test_hooks.py::test_a_wrong_but_reconciling_row_is_refused_although_the_arithmetic_holds tools/test_hooks.py::test_einvoice_cii_document_allowance_net_is_the_tax_basis tools/test_hooks.py::test_einvoice_cii_invoice_no_not_guideline_urn tools/test_hooks.py::test_einvoice_cii_multi_line_net_is_the_document_total_not_line_one tools/test_kitupdate.py::test_every_kit_owned_path_is_shipped_by_some_kit tools/test_office_package.py::test_a_pdf_carrying_two_invoice_attachments_is_refused_not_guessed | pass | EVD-0281 | 18.6s | 1 passed in 3.27s
BUG-0078 | tools/test_kitupdate.py::test_a_pinned_project_hears_about_its_pin_instead_of_an_offer | pass | EVD-0282 | 2.1s | 3 passed in 0.97s
