# Round 1's run, kept as what it is: each row re-ran the survey's FIRST node, which need not
# measure that defect (verifier B2). EVD-0105..0226 come from here and are NOT the batch's
# evidence -- the newer records written by rerun.log supersede them per kind.
BUG-0001 | tools/test_kernel.py::test_a_cross_root_origin_is_refused_at_creation | pass | EVD-0105 | 4.6s | 1 passed in 1.26s
BUG-0048 | tools/test_role_contracts.py::test_every_shipped_specialist_is_told_a_path_its_toolset_can_walk | pass | EVD-0135 | 2.8s | 1 passed in 0.66s
BUG-0049 | tools/test_hooks_v2.py::test_the_same_idle_finding_refuses_only_one_turn_end | pass | EVD-0136 | 6.6s | 1 passed in 4.22s
BUG-0050 | tools/test_hooks.py::test_a_warning_is_recorded_as_a_warning_and_not_as_a_block | pass | EVD-0137 | 3.8s | 1 passed in 2.15s
BUG-0051 | .claude/hooks/test_gates.py::test_the_arbiter_is_a_shell_that_reads_back_what_this_process_writes | pass | EVD-0138 | 2.6s | 1 passed in 0.92s
BUG-0058 | tools/test_approvals_dispatch.py::test_a_dispatch_whose_child_ended_is_named_and_a_running_one_is_not | pass | EVD-0139 | 3.1s | 1 passed in 1.43s
BUG-0060 | tools/test_report.py::test_a_task_accepted_without_a_qa_verdict_is_reported | pass | EVD-0140 | 2.8s | 1 passed in 1.29s
BUG-0061 | tools/test_hooks.py::test_the_office_start_names_the_drawers_the_business_has_and_the_plan_does_not | pass | EVD-0141 | 4.5s | 1 passed in 3.13s
BUG-0062 | tools/test_hooks.py::test_a_registration_names_a_window_exactly_when_its_gate_can_outlive_the_default | pass | EVD-0142 | 3.6s | 1 passed in 2.16s
BUG-0063 | tools/test_hooks_v2.py::test_an_option_word_after_the_script_is_an_argument_not_a_payload | pass | EVD-0143 | 2.4s | 3 passed in 1.01s
BUG-0064 | tools/test_hooks_v2.py::test_the_remedy_this_gate_prints_is_one_it_accepts | pass | EVD-0144 | 2.6s | 1 passed in 0.79s
BUG-0065 | tools/test_hooks_v2.py::test_a_closing_paren_ends_a_word_for_this_reader_too | pass | EVD-0145 | 2.7s | 5 passed in 1.28s
BUG-0066 | tools/test_hooks_v2.py::test_the_shared_preparation_spells_every_statement_break_as_a_newline | pass | EVD-0146 | 1.9s | 10 passed in 0.45s
BUG-0070 | tools/test_kernel.py::test_add_filing_rule_creates_the_rules_list_when_the_plan_carries_none | pass | EVD-0148 | 2.4s | 1 passed in 1.02s
BUG-0071 | tools/test_kernel.py::test_a_staged_proposal_is_applied_only_when_the_user_approved_exactly_it | pass | EVD-0149 | 2.2s | 1 passed in 0.77s
BUG-0073 | tools/test_role_contracts.py::test_every_kit_lead_is_told_which_language_an_approval_value_is_written_in | pass | EVD-0151 | 1.8s | 1 passed in 0.40s
BUG-0074 | tools/test_kernel.py::test_a_staged_proposal_is_applied_only_when_the_user_approved_exactly_it | pass | EVD-0152 | 2.2s | 1 passed in 0.75s
BUG-0075 | tools/test_role_contracts.py::test_every_role_that_owns_a_kit_document_carries_the_route_that_writes_it | pass | EVD-0153 | 2.3s | 1 passed in 0.85s
BUG-0076 | tools/test_role_contracts.py::test_the_product_designer_can_look_at_its_own_draft_and_says_what_that_costs | pass | EVD-0154 | 1.7s | 1 passed in 0.32s
BUG-0102 | .claude/hooks/test_gates.py::test_gate3_sees_a_file_git_does_not_track_yet | pass | EVD-0156 | 18.2s | 1 passed in 16.57s
BUG-0106 | .claude/hooks/test_gates.py::test_gate3_remedy_is_executable_and_opens_the_commit | pass | EVD-0157 | 17.0s | 1 passed in 15.51s
BUG-0133 | .claude/hooks/test_gates.py::test_every_check_this_apparatus_claims_in_its_own_prose_is_one_that_exists | pass | EVD-0158 | 2.3s | 1 passed in 0.83s
BUG-0136 | tools/test_approvals_dispatch.py::test_an_applied_amendments_criteria_stop_counting | pass | EVD-0159 | 5.5s | 1 passed in 4.13s
BUG-0162 | tools/test_hooks_v2.py::test_every_vouching_run_pattern_is_named_here | pass | EVD-0160 | 4.3s | 1 passed in 2.93s
BUG-0174 | tools/test_role_contracts.py::test_the_product_designer_can_look_at_its_own_draft_and_says_what_that_costs | pass | EVD-0162 | 1.8s | 1 passed in 0.35s
BUG-0176 | tools/test_reference_skills.py::test_the_dispatch_header_names_the_reference_skills_the_task_derives | pass | EVD-0163 | 2.3s | 1 passed in 0.88s
BUG-0181 | tools/test_hooks.py::test_a_ledger_git_cannot_answer_for_stands_the_booking_gate_down_and_says_so | pass | EVD-0164 | 4.9s | 1 passed in 3.25s
BUG-0190 | tools/test_role_contracts.py::test_every_verdict_role_states_the_scope_of_its_runs | pass | EVD-0165 | 2.2s | 1 passed in 0.43s
BUG-0192 | tools/test_report.py::test_a_pass_from_a_partial_run_is_not_merge_evidence_and_a_fail_still_is | pass | EVD-0166 | 2.9s | 1 passed in 1.05s
BUG-0193 | tools/test_state.py::test_an_invariant_is_verified_by_its_check_and_unverified_when_it_stops_resolving | pass | EVD-0167 | 2.3s | 1 passed in 0.49s
BUG-0194 | tools/test_report.py::test_an_invariant_whose_check_this_kernel_cannot_read_blocks_nothing | pass | EVD-0168 | 2.7s | 1 passed in 0.76s
BUG-0195 | tools/test_routine_feed.py::test_no_routine_approval_can_be_minted_in_any_kit_today | pass | EVD-0169 | 2.0s | 1 passed in 0.31s
BUG-0196 | tools/test_routine_feed.py::test_the_routine_reads_the_run_record_the_shipped_hook_really_writes | pass | EVD-0170 | 2.7s | 3 passed in 0.69s
BUG-0197 | tools/test_office_duties.py::test_a_rule_with_many_years_past_retention_is_one_duty_that_names_the_oldest_and_the_count | pass | EVD-0171 | 2.1s | 1 passed in 0.36s
BUG-0201 | tools/test_finance_dashboard.py::test_the_documented_command_passes_the_write_scope_gate | pass | EVD-0172 | 4.6s | 1 passed in 2.75s
BUG-0202 | tools/test_finance_dashboard.py::test_the_same_tree_renders_the_same_bytes | pass | EVD-0173 | 2.5s | 1 passed in 0.79s
BUG-0203 | tools/test_finance_dashboard.py::test_an_invalid_ledger_is_named_on_the_page | pass | EVD-0174 | 2.4s | 1 passed in 0.64s
BUG-0207 | tools/test_hooks.py::test_a_filing_move_with_a_source_deleting_copier_flag_is_judged_as_a_move | pass | EVD-0175 | 4.2s | 1 passed in 2.49s
BUG-0210 | tools/test_approvals_dispatch.py::test_every_reader_of_the_expiry_rule_asks_this_one | pass | EVD-0176 | 7.5s | 1 passed in 5.92s
BUG-0211 | tools/test_board.py::test_the_documented_command_names_every_artefact_it_writes | pass | EVD-0177 | 2.2s | 1 passed in 0.65s
BUG-0212 | tools/test_hooks.py::test_every_destroying_stem_is_load_bearing_at_both_ends | pass | EVD-0178 | 7.5s | 16 passed in 6.06s
BUG-0213 | tools/test_kernel.py::test_a_retention_the_deadline_register_cannot_read_is_refused_before_it_reaches_the_plan | pass | EVD-0179 | 3.2s | 1 passed in 1.65s
BUG-0214 | tools/test_finance_dashboard.py::test_a_fresh_project_ships_a_category_vocabulary_the_p4_12_stall_cannot_recur_on | pass | EVD-0180 | 2.1s | 1 passed in 0.58s
BUG-0220 | tools/test_parallel_streams.py::test_no_text_that_describes_the_audited_role_states_the_cadence_the_code_owns | pass | EVD-0181 | 2.0s | 1 passed in 0.52s
BUG-0222 | tools/test_hooks.py::test_shared_kit_files_identical | pass | EVD-0182 | 3.5s | 1 passed in 1.94s
BUG-0223 | tools/test_design_conformance.py::test_a_draft_that_declares_no_view_says_so_instead_of_saying_nothing | pass | EVD-0183 | 7.1s | 1 passed in 5.50s
BUG-0224 | tools/test_parallel_streams.py::test_no_text_that_describes_the_audited_role_states_the_cadence_the_code_owns | pass | EVD-0184 | 1.9s | 1 passed in 0.36s
BUG-0225 | tools/test_parallel_streams.py::test_a_route_the_caller_named_has_to_resolve_and_one_nobody_named_does_not | pass | EVD-0185 | 3.3s | 1 passed in 1.83s
BUG-0226 | tools/test_parallel_streams.py::test_a_seam_that_swallows_an_orders_whole_ownership_is_refused | pass | EVD-0186 | 4.3s | 1 passed in 2.88s
BUG-0230 | tools/test_state.py::test_the_update_path_reads_a_date_field_exactly_as_capture_does | pass | EVD-0187 | 2.0s | 1 passed in 0.43s
BUG-0233 | .claude/hooks/test_gates.py::test_gate5_charges_nothing_to_a_project_whose_suite_runs_in_seconds | pass | EVD-0188 | 9.7s | 1 passed in 8.29s
BUG-0234 | .claude/hooks/test_gates.py::test_every_declared_narrowing_option_really_makes_the_runner_run_fewer_tests | pass | EVD-0189 | 22.7s | 1 passed in 21.26s
BUG-0235 | tools/test_hooks.py::test_gate_test_scope_still_sees_a_link_from_outside_into_the_declared_surface | pass | EVD-0190 | 3.8s | 1 passed in 2.60s
BUG-0236 | tools/test_state.py::test_the_migration_door_writes_a_hole_and_refuses_everything_else | pass | EVD-0191 | 1.6s | 1 passed in 0.36s
BUG-0237 | tools/test_approvals_dispatch.py::test_a_goal_of_an_unknown_class_is_asked_for_the_architect_step | pass | EVD-0192 | 2.1s | 1 passed in 0.92s
BUG-0238 | tools/test_parallel_streams.py::test_the_second_lease_is_refused_when_the_scopes_overlap | pass | EVD-0193 | 2.0s | 1 passed in 0.78s
BUG-0239 | tools/test_review_procedure.py::test_nothing_reads_what_a_work_order_LINE_says | pass | EVD-0194 | 2.0s | 1 passed in 0.86s
BUG-0240 | tools/test_review_procedure.py::test_no_occasion_makes_the_audit_run_due_and_that_is_the_seam | pass | EVD-0195 | 3.1s | 1 passed in 1.99s
BUG-0241 | tools/test_review_procedure.py::test_every_test_pointer_the_harness_role_texts_write_resolves | pass | EVD-0196 | 2.2s | 1 passed in 0.51s
BUG-0243 | .claude/hooks/test_gates.py::test_gate1_answers_before_its_registration_however_long_the_line_takes_to_read | pass | EVD-0198 | 13.3s | 1 passed in 12.14s
BUG-0246 | tools/test_migrate_holes.py::test_a_second_run_over_the_same_document_writes_nothing | pass | EVD-0199 | 1.6s | 1 passed in 0.46s
BUG-0059 | tools/test_kitupdate.py::test_a_stock_without_update_kit_is_lifted_by_the_bootstrap_and_told_about_it | pass | EVD-0219 | 10.4s | 1 passed in 9.11s
BUG-0068 | tools/test_kitupdate.py::test_every_guarded_repo_template_is_refreshed_by_the_scaffold | pass | EVD-0220 | 5.4s | 1 passed in 3.98s
BUG-0072 | tools/test_kitupdate.py::test_every_kit_owned_path_is_shipped_by_some_kit | pass | EVD-0221 | 2.0s | 1 passed in 0.49s
BUG-0078 | tools/test_kitupdate.py::test_a_pinned_project_hears_about_its_pin_instead_of_an_offer | pass | EVD-0222 | 2.8s | 3 passed in 1.30s
BUG-0167 | tools/test_kitupdate.py::test_every_guarded_repo_template_is_refreshed_by_the_scaffold | pass | EVD-0223 | 5.6s | 1 passed in 4.06s
BUG-0178 | tools/test_kitupdate.py::test_a_greenfield_project_still_installs | pass | EVD-0224 | 24.2s | 2 passed in 22.79s
BUG-0180 | tools/test_kitupdate.py::test_neither_twin_replays_a_snapshot_that_points_out_of_the_repository | pass | EVD-0225 | 24.2s | 2 passed in 23.05s
BUG-0242 | tools/test_kitupdate.py::test_a_memory_tree_is_residue_exactly_where_no_installed_role_declares_the_key | pass | EVD-0226 | 1.6s | 1 passed in 0.38s
